Date,Power [kW],Temp (°C),HR,Wind Speed (m/s),Wind Gust (m/s),Pres (mbar),Solar Irradiance (W/m²),Rain (mm/h),Rain (Day),Holiday,Hour,Power - 1,Sin hour
2017-11-11 09:00:00,121.032831,14.985833333333334,60.18833333333333,1.2438333333333333,1.803,1030.0,345.09999999999997,0.0,0.0,0,9,97.201036,5.966978646412833
2017-11-11 10:00:00,118.915129,16.209999999999997,58.240833333333335,1.3835833333333334,2.0124999999999997,1030.0,474.2416666666666,0.0,0.0,0,10,121.032831,7.8405935811517145
2017-11-11 11:00:00,108.6301155,18.059166666666666,53.84166666666667,0.7495833333333334,1.2158333333333333,1029.25,553.4666666666667,0.0,0.0,0,11,118.915129,9.17988502052864
2017-11-11 12:00:00,91.412971,17.849166666666665,54.410833333333336,1.3276666666666668,1.9077499999999998,1028.3333333333333,568.5749999999999,0.0,0.0,0,12,108.6301155,9.893582466233818
2017-11-11 13:00:00,74.841931,18.923333333333336,49.45166666666666,1.25275,1.7610833333333333,1027.75,525.2583333333333,0.0,0.0,0,13,91.412971,9.933048616783237
2017-11-11 14:00:00,44.8617645,19.295833333333334,46.163333333333334,1.4885833333333334,2.138333333333333,1027.0,432.0083333333334,0.0,0.0,0,14,74.841931,9.295593919237854
2017-11-11 15:00:00,44.0930815,19.151666666666667,47.40166666666667,1.6160833333333333,2.3060833333333335,1027.0,295.18333333333334,0.0,0.0,0,15,44.8617645,8.024659857791692
2017-11-11 16:00:00,45.568175,17.968333333333334,53.145833333333336,3.3701666666666665,4.171833333333333,1027.0,131.56833333333333,0.0,0.0,0,16,44.0930815,6.206858488414452
2017-11-11 17:00:00,49.6552175,15.893333333333333,61.365,3.5850000000000004,4.297833333333333,1027.0,12.615166666666667,0.0,0.0,0,17,45.568175,3.96606997037041
2017-11-11 18:00:00,52.1522355,14.198333333333332,64.94500000000001,4.829,5.828666666666667,1027.0,2.801083333333333,0.0,0.0,0,18,49.6552175,1.455000338086137
2017-11-11 19:00:00,53.2014725,13.4525,64.615,4.601916666666667,5.4718333333333335,1027.0,2.7735,0.0,0.0,0,19,52.1522355,-1.1552251627369503
